,name,level,stars_level,address,sold_tickets
0,南京总统府,4A景区,0.8,[江苏·南京·玄武区],1872
1,夫子庙,5A景区,0.8800000000000001,[江苏·南京·秦淮区],284
2,中山陵,5A景区,1.0,[江苏·南京·钟山风景区],298
3,大报恩寺遗址公园,,,[江苏·南京·秦淮区],548
4,瞻园,,0.76,[江苏·南京·夫子庙],214
5,夫子庙秦淮河游船,,0.8400000000000001,[江苏·南京·秦淮区],246
6,美龄宫,,,[江苏·南京·钟山风景区],200
7,南京中国科举博物馆（江南贡院）,,0.72,[江苏·南京·夫子庙],162
8,钟山风景区,4A景区,0.76,[江苏·南京·玄武区],128
9,明孝陵,5A景区,0.86,[江苏·南京·钟山风景区],198
10,夫子庙大成殿,,0.7,[江苏·南京·夫子庙],54
11,六朝博物馆,,,[江苏·南京·玄武区],56
12,江宁织造博物馆,,,[江苏·南京·玄武区],66
13,南京大屠杀遇难同胞纪念馆,4A景区,0.76,[江苏·南京·建邺区],18
14,南京阅江楼,4A景区,0.78,[江苏·南京·下关区],8
15,中华门瓮城景区,,0.82,[江苏·南京·夫子庙],32
16,南京海底世界,,0.7,[江苏·南京·玄武区],376
17,牛首山文化旅游区,4A景区,,[江苏·南京·江宁区],348
18,红山森林动物园,,,[江苏·南京·玄武区],342
19,甘家大院,,0.7,[江苏·南京·秦淮区],24
20,玄武湖公园,4A景区,0.9800000000000001,[江苏·南京·玄武区],8
21,达摩古洞,,,[江苏·南京·栖霞区],28
22,朝天宫,4A景区,0.74,[江苏·南京·白下区],22
23,幕燕滨江风貌区,3A景区,,[江苏·南京·栖霞区],33
24,音乐台,,0.7,[江苏·南京·钟山风景区],2
25,固城湖水慢城,,,[江苏·南京·高淳县],72
26,李香君故居陈列馆,,0.7,[江苏·南京·夫子庙],6
27,南京博物院,4A景区,0.7,[江苏·南京·玄武区],45
28,南京巷钱庄,3A景区,0.72,[安徽·亳州·毫州市],91
29,雨花台,4A景区,0.86,[江苏·南京·雨花台区],12
30,南京长江大桥公园,,,[江苏·南京·下关区],50
31,栖霞山,4A景区,0.72,[江苏·南京·栖霞区],20
32,外秦淮河游船,3A景区,,[江苏·南京·鼓楼区],16
33,南京汤山一号温泉,,,[江苏·南京·江宁区],58
34,南京大报恩寺•实景演出《报恩盛典》,,,[江苏·南京·秦淮区],12
35,灵谷寺,,0.76,[江苏·南京·钟山风景区],26
36,南京TeamLab未来游乐园,,,[江苏·南京·玄武区],28
37,南京汤山颐尚温泉,,,[江苏·南京·江宁区],96
38,南京野生动物园,,,[江苏·南京·珍珠泉],12
39,银杏湖乐园,,,[江苏·南京·江宁区],158
40,莫愁湖公园,,0.76,[江苏·南京·建邺区],95
41,中山植物园,,0.72,[江苏·南京·玄武区],30
42,星空3D艺术展怪屋,,,[江苏·南京·秦淮区],8
43,南京梅花节,,0.72,[江苏·南京·明孝陵],98
44,珍珠泉,,0.72,[江苏·南京·浦口区],172
45,紫清湖生态温泉(紫清湖温泉亲子水世界),4A景区,,[江苏·南京·江宁区],40
46,猿人洞,,0.7,[江苏·南京·江宁区],18
47,老山国家森林公园,,,[江苏·南京·浦口区],14
48,南京珍珠泉水上世界,,,[江苏·南京·珍珠泉],20
49,愚园,,,[江苏·南京·秦淮区],6
50,周园,,,[江苏·南京·溧水县],18
51,巴厘原墅沃阁温泉,,,[江苏·南京·江宁区],39
52,溧水天生桥公园,3A景区,0.7,[江苏·南京·溧水县],18
53,宝船厂遗址,3A景区,,[江苏·南京·鼓楼区],93
54,长江观音景区,,,[江苏·南京·栖霞区],4
55,南京银杏湖,3A景区,0.7,[江苏·南京·江宁区],78
56,梅园新村纪念馆,4A景区,0.7,[江苏·南京·玄武区],42
57,巴布洛生态谷,,,[江苏·南京·六合区],68
58,南京植物博览园,,,[江苏·南京·玄武区],95
59,中国绿化博览园,,0.7,[江苏·南京·建邺区],69
60,菊花台九烈士墓,,0.7,[江苏·南京·雨花台区],73
61,晋苏鑫游乐园,,,[江苏·南京·浦口区],85
62,江苏江宁汤山方山国家地质公园博物馆,,,[江苏·南京·江宁区],55
63,纽斯汤泉,,,[江苏·南京·建邺区],97
64,现代农业科技展览馆,,,[江苏·南京·江宁区],97
65,同曦积木乐园,,,[江苏·南京·江宁区],72
66,南京汤山茶园露天温泉,,,[江苏·南京·江宁区],79
67,大金山,3A景区,,[江苏·南京·溧水县],80
68,桠溪国际慢城,,,[江苏·南京·高淳县],61
69,白马公园时光岛乐园,,,[江苏·南京·玄武区],42
70,台湾主题文化园,3A景区,,[江苏·南京·江宁区],90
71,七仙大福村,,,[江苏·南京·江宁区],79
72,秦淮河画舫码头,,,[江苏·南京·鼓楼区],2
73,鸡鸣寺,,0.78,[江苏·南京·玄武区],30
74,夫子庙商业街,,,[江苏·南京·已下线夫子庙秦淮风光子景点],81
75,老门东历史街区,,,[江苏·南京·秦淮区],31
76,杨柳村,,,[江苏·南京·江宁区],89
77,国防园军事体验中心,,,[江苏·南京],33
78,南京大学,,0.8,[江苏·南京·鼓楼区],48
79,蒋介石温泉别墅,,,[江苏·南京·江宁区],57
80,南京西路,,,[上海·上海·静安区],35
81,南京汤山温泉宾馆,,,[江苏·南京],60
82,1912街区,,,[江苏·南京·玄武区],68
83,韩国7D电影互动体验馆,,,[江苏·南京·溧水天生桥公园],39
84,傅家边科技园,3A景区,0.7,[江苏·南京·溧水县],71
85,同曦恐龙主题乐园,,,[江苏·南京·江宁区],10
86,金牛湖,3A景区,0.7,[江苏·南京·六合区],16
87,锦尚温泉,,,[江苏·南京·江宁区],45
88,好莱坞魔法城,,,[江苏·南京·江宁区],2
89,四方当代美术馆,,,[江苏·南京·浦口区],63
90,紫金山天文台,,0.74,[江苏·南京·钟山风景区],31
91,弘阳果壳里儿童职业体验中心,,,[江苏·南京·浦口区],4
92,南京万达主题乐园,,,[江苏·南京·栖霞区],2
93,弘阳未来世界主题乐园,,,[江苏·南京·浦口区],26
94,雨花台烈士陵园,4A景区,,[江苏·南京·雨花台],43
95,南京汤山圣泉温泉,,,[江苏·南京·江宁区],99
96,南京科技馆,4A景区,,[江苏·南京·雨花台区],87
97,三国村,,,[江苏·南京·江宁区],91
98,高淳国际慢城长春农家,,,[江苏·南京·高淳县],98
99,傅家边农业科技园,3A景区,,[江苏·南京·溧水县],93
100,汤怡休闲温泉,,,[江苏·南京·溧水县],63
101,中山故事馆,,,[江苏·南京·中山陵],61
102,御豪汤山温泉,,,[江苏·南京·江宁区],99
103,南京汤怡休闲酒店,,,[江苏·南京·溧水县],65
104,台北馥敦饭店南京馆日安西餐厅,,,[台湾·台北],49
105,滨江公园,,0.72,[江苏·南京·建邺区],50
106,直立人化石遗址博物馆,,,[江苏·南京·江宁区],89
107,南京雨发生态旅游区,,,[江苏·南京·浦口区],81
108,高淳老街,4A景区,0.7,[江苏·南京·高淳县],2
109,阳山碑材,4A景区,0.7,[江苏·南京],82
110,陌上花渡景区,,,[江苏·南京·栖霞区],8
111,火车来斯,,,[江苏·南京·江宁区],55
112,高淳非遗展示馆,,,[江苏·南京·高淳县],81
113,傅家边绿岛草莓农家乐,,,[江苏·南京·溧水县],71
114,台北馥敦饭店南京馆嘉园厅,,,[台湾·台北],38
115,1345温泉度假酒店,,,[江苏·南京·秦淮区],50
116,湖熟菊花园,,,[江苏·南京·江宁区],77
117,南京开心茶馆,,,[江苏·南京·鼓楼区],91
118,星幻谜都,,,[江苏·南京·秦淮区],0
119,南京城墙遗址,,0.72,[江苏·南京·秦淮区],0
120,汤山翠谷生态旅游度假村,,,[江苏·南京·江宁区],0
121,长江大桥,,0.8,[江苏·南京·浦口区],0
122,南京欢乐水魔方,,,[江苏·南京·江宁区],0
123,汤疗养生温泉,,,[江苏·南京·江宁区],0
124,大金山国防园,,,[江苏·南京·大金山],0
125,燕子矶,,0.7,[江苏·南京·雨花台区],0
126,丹罗蜡像艺术馆,,,[江苏·南京·秦淮区],0
127,南京星空错觉艺术馆,,,[江苏·南京·秦淮区],0
128,奇幻-3D魔幻艺术画展,,,[江苏·南京·鼓楼区],0
129,卓不凡都市猎人真人CS（灵谷寺店）,,,[江苏·南京·玄武区],0
130,玄武湖游船,,,[江苏·南京·玄武湖公园],0
131,Pulupulu恐怖病院,,,[江苏·南京·秦淮区],0
132,瞳艺3D艺术画展,,,[江苏·南京·玄武区],0
133,金仕堡健身,,,[江苏·南京·雨花台区],0
134,紫峰大厦观光层,,,[江苏·南京·鼓楼区],0
135,淳化山田牛奶园景区,,0.7,[江苏·南京·江宁区],0
136,平山森林公园,3A景区,,[江苏·南京·六合区],0
137,冒险森林,,,[江苏·南京·玄武区],0
138,巴厘梵池,,,[江苏·南京·江宁区],0
139,玉桥3D魔幻游戏馆,,,[江苏·南京·下关区],0
140,3D魔幻全国巡演（南京站）,,,[江苏·南京],0
141,卧龙湖风情小镇,,,[江苏·南京·溧水县],0
142,南京直升机空中游览,,,[江苏·南京·浦口区],0
143,翠洲芳谷亲子文化园,,,[江苏·南京·江宁区],0
144,止马岭,,,[江苏·南京·六合区],0
145,百慕大真人密室逃脱俱乐部,,,[江苏·南京·秦淮区],0
146,南京保利大剧院,,,[江苏·南京],0
147,清凉山公园,,0.74,[江苏·南京·鼓楼区],0
148,王安石故居半山园,,0.7,[江苏·南京·玄武区],0
149,安然纳米汗蒸馆（金盛花园店）,,,[江苏·南京·江宁区],0
150,云谷索道,,,[安徽·黄山·黄山风景区],2501
151,黄山风景区,5A景区,1.0,[安徽·黄山·黄山区],2606
152,宏村,5A景区,0.78,[安徽·黄山·黟县],2853
153,太平索道,,,[安徽·黄山·黄山风景区],6745
154,马仁奇峰,4A景区,0.76,[安徽·芜湖·南陵县],2780
